modelo;id_work_center;tiempo;piezas
645;7;0;0
645;13;0;0
645;12;0;0
645;6;0.02;3
645;16;0;0
645;10;0.019;1
645;14;0.043;2
645;8;0;0
645;9;0;0
645;15;0;0
650;11;0;0
650;2;0;0
650;3;0;0
650;1;0.158;10
650;4;0.172;10
650;5;0;0
650;7;0;0
650;13;0;0
650;12;0;0
650;6;0;0
650;16;0;0
650;10;0;0
650;14;0.043;2
650;8;0;0
650;9;0.749;1
650;15;0;0
652;11;0.064;2
652;2;0;0
652;3;0;0
652;1;0.067;6
652;4;0.075;6
652;5;0;0
652;7;0;0
652;13;0;0
652;12;0;0
652;6;0.01;2
652;16;0;0
652;10;0;0
652;14;0.043;2
652;8;0;0
652;9;0.157;1
652;15;0;0
656;11;0;0
656;2;0.22;2
656;3;0.1249;5
656;1;0.568;2
656;4;0.191;2
656;5;0.278;2
656;7;0;0
656;13;0;0
656;12;0;0
656;6;0.103;5
656;16;0;0
656;10;0.116;1
656;14;0.043;2
656;8;0;0
656;9;0;0
656;15;0;0
657;11;0;0
657;2;0.22;2
657;3;0.1249;5
657;1;0.568;2
657;4;0.208;2
657;5;0.278;2
657;7;0;0
657;13;0;0
657;12;0;0
657;6;0.103;5
657;16;0;0
657;10;0.116;1
657;14;0.043;2
657;8;0;0
657;9;0;0
657;15;0;0
666;11;0;1
666;2;0.09;4
666;3;0.058;4
666;1;0.029;1
666;4;0.022;1
666;5;0.015;1
666;7;0;0
666;13;0;0
666;12;0;0
666;6;0.02;4
666;16;0;0
666;10;0.019;1
666;14;0.043;2
666;8;0;0
666;9;0;0
666;15;0;0
678;11;0.0205;4
678;2;0;0
678;3;0.05;4
678;1;0.0929;8
678;4;0.0425;8
678;5;0;0
678;7;0;0
678;13;0.0538;1
678;12;0;0
678;6;0.0194;5
678;16;0;0
678;10;0;0
678;14;0;0
678;8;0.1234;1
678;9;0;0
678;15;0;0
678;17;0;0
680;11;0;0
680;2;0;0
680;3;0;0
680;1;0;0
680;4;0;0
680;5;0;0
680;13;0;0
680;12;0;0
680;6;0.002;2
680;16;0;0
680;10;0.019;1
680;14;0.043;2
680;8;0;0
680;9;0;0
680;15;0;0
692;11;0;0
692;2;0;0
692;3;0;0
692;1;0;0
692;4;0;0
692;5;0;0
692;7;0.05;1
692;13;0;0
692;12;0;0
692;6;0;0
692;16;0.15;1
692;10;0;0
692;14;0;0
692;8;0;0
692;9;0;0
692;15;0;0
702;11;0;0
702;2;0.24;8
702;3;0.1079;5
